d (Mpc),y (Mpc)
-218.72321198812878,144.69926073681472
-282.3616244390082,184.18611740830966
-226.52956406942354,152.2577413907982
-239.12997281747616,162.0589418454565
-210.6728521227746,139.60582628614634
-208.9010316024445,142.14002866432372
-225.45827337459846,153.90600971102916
-222.2439498592905,153.46405217031793
-291.0113889492455,190.59269062967903
-346.6261509349723,-1.072646020421391
-211.38047571919589,-1.4872975941384792
-326.59176950636567,-3.093307540438375
-369.97188836142806,-3.949082089018438
-284.22236655060055,-3.746983989899221
-282.9598215578722,-3.4392274022311606
-331.12765254025777,-5.417279151933172
-331.45072492514817,-4.630750629807214
-330.2194395406368,-4.64482876068879
-325.51785672174753,-5.964359055102701
-332.253569078479,-7.300516747578705
-281.98774093012446,-6.290843803607392
-330.97380547943595,-7.247291145515626
-184.37399954520563,-12.327058335057753
-299.60789614401875,-19.390808405653896
-303.93254339762603,-20.306369768664805
-233.40338783249953,-13.588156017254246
-230.96700974817892,-11.718464591720009
-325.009552366342,-17.462844764592568
-362.38927239668993,-19.504761668654606
-338.7330750959513,-15.03799170806144
-232.5766735947298,-10.781669983261619
-340.83817574870454,-13.30537360020644
-365.0923303211239,-14.65871553399175
-326.43033716450645,-8.201857180410096
-283.0274292477629,-9.573462043583184
-340.12689921485065,-11.93607332348165
-314.9953964825198,-16.277306412202982
-308.40148870940067,-17.786215601760404
-356.4058041959184,-24.20218762041113
-318.0171112086167,-20.033299203993124
-285.77034119247526,-28.881809423777387
-374.38966581160383,-37.25151390024644
-286.071899736791,-28.75254852623157
-289.47538349265386,-29.843463933831785
-373.7913822327338,-36.20098693473376
-373.7620448737107,-39.18906808482139
-250.7738807319956,-25.148313551394203
-321.4369648172305,-29.376332415952948
-373.32196386561435,-35.03239928424749
-310.6730565940244,-29.120961544728946
-359.0750776765397,-34.20736665772942
-321.77330192147906,-27.883788195774226
-294.0405072293269,-26.95668855971595
-325.6957490901638,-30.32350993166765
-367.66052147246523,-29.105580642735077
-358.03295762901115,-30.381211047171174
-306.63299105307266,-23.461765798437803
-368.8429372988986,-25.966121532088415
-321.1293711188411,-23.515017817750206
-250.10598004816964,-18.294935648431647
-374.85797821696406,-25.05708272652085
-323.20836869427325,-22.05291925208983
-250.40775585133136,-17.472065577656394
-183.8630410405167,-12.936933707859733
-302.8589004327571,-19.59856335035888
-349.4986434813976,-23.878287896060623
-357.4506250321538,-24.148919838974642
-277.40871466441405,-20.801895799719848
-371.9990253193244,-29.55770606094077
-351.4668822722781,-30.073827211601515
-272.83067667222855,-24.91119502066844
-289.511718667708,-27.085338389738475
-271.79808862705073,-24.812080902402297
-287.80014693896214,-27.995836131179225
-340.6733181935998,-36.37116957220949
-281.46459720328073,-38.66936604128937
-264.8080087632039,-35.43562268910489
-365.6334629093126,-49.320807005077924
-265.34812104934514,-34.04817311775317
-285.2135006210417,-37.44183025711734
-344.25409205421425,-46.219384886341
-285.5405591683583,-37.96659227897749
-365.9026902266468,-48.17592533487812
-315.805904379828,-42.080924358294176
-321.9421097180772,-38.908735923942594
-284.9723749555552,-35.803675983290255
-373.42092643696964,-44.42711166891116
-267.94591606112607,-31.4785462572771
-322.3638952540071,-38.678115845449035
-320.29749966480966,-35.69350538128301
-290.6107221634311,-30.85301004759134
-374.848410677669,-39.329487071485865
-324.8009481129225,-32.24041305337009
-372.25615294623225,-38.76106149973889
-271.711219179145,-28.225474385790022
-306.6379409007191,-31.107330339061264
-260.56911460147296,-28.67448035107932
-330.0752185623365,-36.358499250604225
-330.0262331064494,-40.430990538407855
-330.81411253944003,-40.27377213936727
-327.39063245768097,-39.98255745450388
-332.2383590223808,-40.051304415876224
-369.7145597251117,-46.16782400772633
-331.33135629028254,-42.68163614312518
-330.93604184680794,-42.590412394193024
-336.67570355562424,-42.962718908867934
-289.4937195914788,-38.70081374806643
-371.46408431003124,-49.36518634678463
-366.2321586755053,-48.55120033641806
-286.34083961426995,-37.6528483126563
-286.94098268781414,-37.78028890463191
-330.2914539289029,-43.79610176099986
-370.3889221076647,-48.9956388174087
-371.8938103116587,-49.95941724492793
-334.3975720761497,-45.80286908865769
-332.4030897240633,-45.676340418363324
-235.93682330512254,-32.19020377737193
-321.9394418109994,-45.10506161816895
-285.0031920548188,-39.69843825971351
-192.60073671973296,-36.26740657297327
-328.6504273305292,-60.2938882126964
-191.47409356184326,-33.595165120154185
-333.26597993898673,-57.09552003857592
-330.20220457037556,-55.293683133552165
-332.41779934143113,-56.649214682549186
-352.6263609140745,-58.643534323937345
-238.02051314542265,-36.796178448476695
-247.0333714244904,-38.0743759486865
-278.27706078147753,-43.373075613502564
-247.07146669855203,-38.22607680079698
-251.46783438917151,-37.10254398139188
-241.17306592375903,-36.54509833507253
-235.41226923500196,-33.05693705737685
-362.45362038185493,-54.46626044242697
-365.2409732275607,-53.266519040490586
-365.75454564776544,-55.02057504255322
-366.9445455413298,-52.54902732699869
-322.4391116316012,-48.267144774854096
-333.0995510955889,-50.72164960337674
-321.5754224680135,-53.113591340579205
-321.2051382315193,-53.95509490027551
-321.3409823976864,-56.97886357808926
-351.66299789840207,-62.71365306032347
-343.7529830227274,-61.52035886068677
-350.4681212030585,-63.223675203858264
-349.507362383638,-63.25916196349008
-331.9039236997852,-60.72681235397357
-348.12988785529,-63.10957937205375
-336.04582165428224,-61.62897468281894
-343.1575208981946,-64.22789721383083
-282.69968210258384,-53.47470475546563
-336.06595659218056,-62.84371133447793
-322.3911172450009,-60.52604767625812
-333.6616799156677,-61.81345682637531
-330.4989268617303,-61.10878276696354
-336.2505023533124,-61.97008753572313
-290.018958577486,-55.24194689196786
-287.0915570358551,-54.77454013404059
-327.3071907147856,-62.74164642055515
-337.2407860956155,-63.5053171947613
-339.508293019291,-73.76168660842552
-222.65693180410514,-49.10137097231143
-277.86801821453474,-61.188277934958116
-344.33932996476716,-76.39619576199183
-339.8502909439506,-75.81124921937256
