cost,publisher,university,year
753161.75,Elsevier,University of Aberdeen,2010
0.0,Elsevier,Abertay University,2010
247614.97,Elsevier,Aberystwyth University,2010
92060.0,Elsevier,Anglia Ruskin University,2010
0.0,Elsevier,Arts University Bournemouth,2010
245171.0,Elsevier,Aston University,2010
248926.18,Elsevier,Bangor University,2010
519062.12,Elsevier,University of Bath,2010
0.0,Elsevier,Bath Spa University,2010
69648.9,Elsevier,University of Bedfordshire,2010
97781.0,Elsevier,"Birkbeck, University of London",2010
798860.49,Elsevier,University of Birmingham,2010
62962.0,Elsevier,Birmingham City University,2010
0.0,Elsevier,Bishop Grosseteste University,2010
53235.75,Elsevier,University of Bolton,2010
127782.0,Elsevier,Bournemouth University,2010
,Elsevier,University of Bradford,2010
126041.13,Elsevier,University of Brighton,2010
939882.14,Elsevier,University of Bristol,2010
283316.16,Elsevier,Brunel University,2010
31270.0,Elsevier,Buckinghamshire New University,2010
1277940.4,Elsevier,University of Cambridge,2010
37548.65,Elsevier,Canterbury Christ Church University,2010
805524.76,Elsevier,Cardiff University,2010
68964.79,Elsevier,Cardiff Metropolitan University,2010
251584.65,Elsevier,University of Central Lancashire,2010
724.0,Elsevier,Central School of Speech and Drama,2010
44904.0,Elsevier,University of Chester,2010
2450.64,Elsevier,University of Chichester,2010
164975.54,Elsevier,City University London,2010
0.0,Elsevier,Courtauld Institute of Art,2010
221247.98,Elsevier,Coventry University,2010
323067.43,Elsevier,Cranfield University,2010
46258.83,Elsevier,University of Cumbria,2010
144176.7,Elsevier,De Montfort University,2010
100554.38,Elsevier,University of Derby,2010
368639.46,Elsevier,University of Dundee,2010
460360.23,Elsevier,Durham University,2010
386468.94,Elsevier,University of East Anglia,2010
,Elsevier,University of East London,2010
,Elsevier,Edge Hill University,2010
830579.98,Elsevier,University of Edinburgh,2010
152216.0,Elsevier,Edinburgh Napier University,2010
,Elsevier,University of Essex,2010
221807.48,Elsevier,University of Exeter,2010
0.0,Elsevier,Falmouth University,2010
756502.0,Elsevier,University of Glasgow,2010
206658.8,Elsevier,Glasgow Caledonian University,2010
48951.61,Elsevier,University of Gloucestershire,2010
14400.0,Elsevier,Glyndŵr University,2010
37332.87,Elsevier,"Goldsmiths, University of London",2010
195938.48,Elsevier,University of Greenwich,2010
59899.0,Elsevier,Harper Adams University,2010
385691.0,Elsevier,Heriot-Watt University,2010
,Elsevier,University of Hertfordshire,2010
0.0,Elsevier,Heythrop College,2010
103659.36,Elsevier,University of Huddersfield,2010
239659.3,Elsevier,University of Hull,2010
,Elsevier,Imperial College London,2010
163504.3,Elsevier,Institute of Cancer Research,2010
27098.0,Elsevier,"Institute of Education, University of London",2010
167381.24,Elsevier,Keele University,2010
336852.91,Elsevier,University of Kent,2010
724762.84,Elsevier,King's College London,2010
129162.62,Elsevier,Kingston University,2010
399436.0,Elsevier,Lancaster University,2010
952511.0,Elsevier,University of Leeds,2010
0.0,Elsevier,Leeds College of Art,2010
88478.7,Elsevier,Leeds Beckett University (formerly Leeds Metropolitan University),2010
3745.1,Elsevier,Leeds Trinity University,2010
480000.0,Elsevier,University of Leicester,2010
